0,130021,胶东(岩)群,Jiaodongyan Gr,Ar3,,山东胶东地区,,['shandong']
0,130022,金凤岭(岩)组,Jinfengling Fm,Ar3,金凤岭段,"辽宁清原一带,延入吉林境内",,['liaoning']['jilin']
0,130023,金岗库组,Jingangku Fm,Ar3,,山西五台山区,,['shanxi']
0,130024,近周营组,Jinzhouying Fm,Ar3,,山西吕梁山区,,['shanxi']
0,130025,阚集杂岩,Kanji Complex,Ar3,,安徽,,['anhui']
0,130026,老潭沟组,Laotangou Fm,Ar3,土楼组,山西,,['shanxi']
0,130027,林家寨(岩)组,Linjiazhai Fm,Ar3,,鲁东,,['shandong']
0,130028,柳杭组,Liuhang Fm,Ar3,,鲁西,,['shandong']
0,130029,龙泉关(岩)群,Longquanguan Gr,Ar3,榆林坪(岩)组,河北、山西两省交界地区,,['hebei']['shanxi']
0,130030,芦嘴头组,Luzuitou Fm,Ar3,,山西五台山区,,['shanxi']
0,130031,鹿角庙组,Lujiaomiao Fm,Ar3,,山西五台山北坡,,['shanxi']
0,130032,吕梁群,L¨liang Gr,Ar3,,山西吕梁山北段,,['shanxi']
0,130033,滦县(岩)群,Luanxian Gr,Ar3,八道河群、卢龙群、司家营群、燕窝铺组、白庙组等,河北东部栾县、卢龙、迁安南部一带,,['hebei']
0,130034,骆驼峰组,Luotuofeng Fm,Ar3,,山西,,['shanxi']
0,130035,麻子山组,Mazishan Fm,Ar3,,山西,,['shanxi']
0,130036,孟家屯(岩)组,Mengjiatun Fm,Ar3,,山东新泰市孟家屯一带,,['shandong']
0,130037,苗家(岩)组,Miaojia Fm,Ar3,,山东栖霞,,['shandong']
0,130038,磨河组,Mohe Fm,Ar3,,山西五台山区 ,,['shanxi']
0,130039,木山岭组,Mushanling Fm,Ar3,,山西五台山区,,['shanxi']
0,130040,南大贤组,Nandaxian Fm,Ar3,,山西五台山,,['shanxi']
0,130041,南台亚群,Nantai Sub-Gr,Ar3,,山西五台山 ,,['shanxi']
0,130042,牛还(岩)组,Niuhuan Fm,Ar3,,山西恒山,,['shanxi']
0,130043,盘道岭组,Pandaoling Fm,Ar3,,山西五台山,,['shanxi']
0,130044,跑泉厂组,Paoquanchang Fm,Ar3,,河北、山西交界地区,,['hebei']['shanxi']
0,130045,平头岭组,Pingtouling Fm,Ar3,南天门石英岩,山西绛县,,['shanxi']
0,130046,齐山(岩)组,Qishan Fm,Ar3,,胶东地区,,
0,130047,清原(岩)群,Qingyuan Gr,Ar3,,辽宁清源、抚顺、铁岭一带,,['liaoning']
0,130048,沙厂组,Shachang Fm,Ar3,,北京密云沙厂、墙子路一带,,['beijing']
0,130049,山草峪组,Shancaoyu Fm,Ar3,,鲁西地区,,['shandong']
0,130050,神仙垴组,Shenxiannao Fm,Ar3,,山西五台县,,['shanxi']
0,130051,石牌河组,Shipaihe Fm,Ar3,,河南中部登封、临汝等地,,['henan']
0,130052,石梯沟组〔1〕,Shitigou Fm〔1〕,Ar3,,河南中部及北部嵩山地区,,['henan']
0,130053,寿阳山组,Shouyangshan Fm,Ar3,,山西五台山区,,['shanxi']
