Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
150018,白沙河(岩)组,Baishahe Fm,Ar-Pt1,苦海群,,qinghai,,,,,,,,,,,,,,,花岗岩,片岩,片麻岩,角闪岩,麻粒岩,大理岩,白云石大理岩,混合岩,混合片麻岩,混合花岗岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150019,后河杂岩,Houhe Complex,Ar-Pt1,咱里组,,sichuan,shaanxi,,,,,,,,,,,,,,玄武岩,安山玄武岩,片岩,角闪岩,斜长角闪岩,混合岩,眼球状混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150020,化隆(岩)群,Hualong Gr,Ar-Pt1,尕让群,,qinghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150021,金水口(岩)群,Jinshuikou Gr,Ar-Pt1,苦海组,,qinghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140001,奥家滩(岩)组,Aojiatan Fm,Ar2-3,店子上(岩)组,,shanxi,,,,,,,,,,,,,,,片岩,片麻岩,石英片岩,石英岩,变粒岩,黑云变粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140002,长树山(岩)组,Changshushan Fm,Ar2-3,,,shanxi,,,,,,,,,,,,,,,片岩,变粒岩,角闪岩,斜长角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140003,赤坚岭(岩)组,Chijianling Fm,Ar2-3,,,shanxi,,,,,,,,,,,,,,,石英斑岩,细晶岩,砂岩,粉砂岩,片岩,片麻岩,石英岩,变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140004,大漕组,Dacao Fm,Ar2-3,,,beijing,,,,,,,,,,,,,,,片麻岩,铁英岩,麻粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140005,贺家湾组,Hejiawan Fm,Ar2-3,,,shanxi,,,,,,,,,,,,,,,片岩,变粒岩,黑云变粒岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140006,密云(岩)群,Miyun Gr,Ar2-3,,,beijing,,,,,,,,,,,,,,,凝灰岩,片麻岩,麻粒岩,二辉麻粒岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140007,裴家庄组,Peijiazhuang Fm,Ar2-3,,,shanxi,,,,,,,,,,,,,,,砂岩,粉砂岩,千枚岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140008,苇子峪组,Weiziyu Fm,Ar2-3,,,beijing,,,,,,,,,,,,,,,辉石岩,片麻岩,斜长片麻岩,角闪斜长片麻岩,辉石斜长片麻岩,铁英岩,麻粒岩,辉石麻粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140009,阳坪上组,Yangpingshang Fm,Ar2-3,,,shanxi,,,,,,,,,,,,,,,石英岩,变粒岩,大理岩,石墨大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130001,柏枝(岩)组,Baizhiyan Fm,Ar3,阳坡里组、文笔(岩)段、文溪组,,shanxi,,,,,,,,,,,,,,,片岩,绿片岩,石英岩,磁铁石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130002,常窑组,Changyao Fm,Ar3,,,henan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130003,茨沟(岩)组,Cigou Fm,Ar3,茨沟组,,liaoning,,,,,,,,,,,,,,,陆源碎屑岩,片岩,角闪片岩,石英岩,含铁石英岩,铁英岩,浅粒岩,变粒岩,黑云变粒岩,角闪岩,斜长角闪岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
