Serial Number,Chinese Full Name,English Name,Geological time,Other names,Notes,location,location,location,location,location,location,location,location,location,location,location,location,location,location,location,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock,rock
231060,苏玛兰组,Sumalan Fm,Qn,,命名者最初称苏玛兰岩系，时代定为奥陶纪1978年方锡廉、马世鹏等改其时代为青白口纪,xinjiang,,,,,,,,,,,,,,,砂岩,细砂岩,粉砂岩,泥岩,泥板岩,石灰岩,叠层石灰岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231061,宿县群,Suxian Gr,Qn,徐淮群,本群已将前人划分的宿县群与徐淮群合并统称宿县群,anhui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231062,索尔库里群,Suoerkuli Gr,Qn,,,xinjiang,,,,,,,,,,,,,,,片岩,板岩,千枚岩,钙质片岩,石英片岩,黑云母石英片岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231063,潭头群,Tantou Gr,Qn,螺田(岩)组、白沙千枚岩,,jiangxi,,,,,,,,,,,,,,,凝灰岩,沉凝灰岩,凝灰质砂岩,板岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231064,王全口组,Wangquankou Fm,Qn,,隶属于贺兰山群,Inner Mongolia,ningxia,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,粉砂岩,白云岩,灰质白云岩,燧石,板岩,钙质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231065,翁家岭组,Wengjialing Fm,Qn,漆工群,,jiangxi,,,,,,,,,,,,,,,凝灰岩,沉凝灰岩,砾岩,砂岩,粉砂岩,泥岩,砾屑灰岩,泥灰岩,白云岩,泥质白云岩,板岩,硅质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231066,五个山组,Wugeshan Fm,Qn,,隶属于龚岔群,shanxi,,,,,,,,,,,,,,,碳酸岩,凝灰岩,砂岩,石英砂岩,白云质灰岩,结晶灰岩,泥质灰岩,硅质灰岩,角砾状灰岩,板岩,粉砂质板岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231067,伍山组,Wushan Fm,Qn,,属八公山群,anhui,,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231068,西村(岩)组,Xicun Fm.,Qn,,归属溪口(岩)群,anhui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231069,西方山组,Xifangshan Fm,Qn,,,xinjiang,,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,长石石英砂岩,长石砂岩,岩屑长石砂岩,粉砂岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231070,下喀沙组,Xiakasha Fm,Qn,,,sichuan,,,,,,,,,,,,,,,凝灰岩,砂岩,粉砂岩,片岩,钠长石岩,板岩,碳质板岩,千枚岩,云母片岩,钠长阳起片岩,石英片岩,浅粒岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231071,下马岭组,Xiamaling Fm,Qn,,,beijing,tianjin,hebei,liaoning,,,,,,,,,,,,砾岩,底砾岩,角砾岩,砂岩,细砂岩,石英砂岩,钙质石英砂岩,海绿石砂岩,粉砂岩,粘土,页岩,钙质页岩,砂质页岩,粉砂质页岩,硅质灰岩,泥灰岩,白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231072,小安里组,Xiaoanli Fm,Qn,,,anhui,jiangxi,,,,,,,,,,,,,,砾岩,细砾岩,砂岩,石英砂岩,长石石英砂岩,岩屑砂岩,粉砂岩,泥质粉砂岩,砂屑灰岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231073,小泉达坂组,Xiaoquandaban Fm,Qn,,属于索尔库里群,xinjiang,,,,,,,,,,,,,,,砂岩,细砂岩,石英砂岩,粉砂岩,结晶灰岩,片岩,板岩,硅质板岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231074,辛格尔塔格组,Xingeertage Fm,Qn,北塞纳尔塔格组、帕尔岗塔格群下亚群,,xinjiang,,,,,,,,,,,,,,,砂岩,变质砂岩,片岩,千枚岩,钙质千枚岩,石英片岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231076,腰未台冲组,Yaoweitaichong Fm,Qn,,,liaoning,,,,,,,,,,,,,,,砂岩,石英砂岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231077,窑洞沟组,Yaodonggou Fm,Qn,,隶属龚岔群,gansu,qinghai,,,,,,,,,,,,,,碳酸盐岩,竹叶状灰岩,鲕状灰岩,泥质灰岩,隐晶质灰岩,硅质灰岩,角砾状灰岩,白云岩,板岩,灰色板岩,钙质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231078,耀岭河组,Yaolinghe Fm,Qn,过路湾组、马头山组,1958年秦岭区测队在1∶20万商南幅命名，阎廉泉描述不全，故用1961年商南幅说明书的定义本组在不同省可划分为若干段，但不易对比,henan,hubei,shaanxi,,,,,,,,,,,,,细碧岩,流纹岩,熔凝灰岩,火山角砾岩,晶屑凝灰岩,碎屑岩,砂岩,变火山岩,片岩,钠长绿泥片岩,绿片岩,石英片岩,石英岩,磁铁石英岩,角闪岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231079,野马街组,Yemajie Fm,Qn,,隶属于圆藻山群,Inner Mongolia,gansu,,,,,,,,,,,,,,碳酸岩,碎屑岩,砂岩,细砂岩,石英砂岩,粉砂岩,泥岩,页岩,砂质页岩,粉砂质页岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231080,永宁组,Yongning Fm,Qn,,,liaoning,,,,,,,,,,,,,,,砾岩,砂岩,长石砂岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231081,于北沟组,Yubeigou Fm,Qn,下马岭组,,liaoning,,,,,,,,,,,,,,,砂岩,石英砂岩,粉砂岩,泥质粉砂岩,海绿石石英砂岩,板岩,泥质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231082,玉沙斯组,Yushasi Fm,Qn,,该组原为苏库罗克组的下部层位，经马世鹏等的研究，发现上、下沉积间断，岩性也有较大的差异，而单独建组，已被广泛应用,xinjiang,,,,,,,,,,,,,,,碎屑岩,砾岩,底砾岩,砂岩,细砂岩,石英砂岩,长石石英砂岩,粉砂岩,粘土,高岭石粘土,泥岩,钙质泥岩,粘土岩,页岩,石灰岩,叠层石灰岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231083,张渠组,Zhangqu Fm,Qn,,属宿县群或淮河群下亚群,jiangsu,anhui,,,,,,,,,,,,,,页岩,钙质页岩,鲕状灰岩,砾屑灰岩,泥质灰岩,泥灰岩,白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231084,镇头(岩)组,Zhentou Fm,Qn,,归属历口(岩)群,anhui,,,,,,,,,,,,,,,流纹岩,凝灰岩,沉凝灰岩,板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231085,祝家组,Zhujia Fm,Qn,,隶属于登山群下部,jiangxi,,,,,,,,,,,,,,,砾岩,复成分砾岩,砂岩,杂砂岩,板岩,凝灰质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225001,阿古鲁沟组,Agulugou Fm,Jx,,,Inner Mongolia,,,,,,,,,,,,,,,结晶灰岩,板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225002,爱尔基干群,Aierjigan Gr,Jx,拜什布拉克岩系、南赛纳尔塔格岩系、赛纳尔塔格岩系、大西沟组,本群诺林(1931)原称爱尔基斯系(统)，又称爱尔克逊建造，高振家等(1963)按当地名称改称爱尔基干群，并修订了其含意后人一直沿用,xinjiang,,,,,,,,,,,,,,,碳酸盐岩,白云岩,石英岩,大理岩,白云质大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225003,北门峡组,Beimenxia Fm,Jx,,隶属于花石峡群,qinghai,,,,,,,,,,,,,,,砾岩,碳酸盐岩,白云岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225004,比鲁特组,Bilute Fm,Jx,,,Inner Mongolia,,,,,,,,,,,,,,,砂岩,石英砂岩,粉砂岩,板岩,硅质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225005,冰沟群,Binggou Gr,Jx,狼牙山群巴音果勒组,,qinghai,xinjiang,,,,,,,,,,,,,,碎屑岩,砂岩,粉砂岩,碳酸盐岩,结晶灰岩,白云岩,板岩,石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225006,博查特塔格群,Bochatetage Gr,Jx,塔昔达坂群,又称博查特塔格组 、博查特塔格岩系,xinjiang,,,,,,,,,,,,,,,白云质灰岩,硅质灰岩,白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225007,杜关组,Duguan Fm,Jx,香子坪群(下部),,henan,shaanxi,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,长石石英砂岩,页岩,碳酸盐岩,白云岩,泥质白云岩,燧石,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225008,墩子沟群,Dunzigou Gr,Jx,,,Inner Mongolia,gansu,,,,,,,,,,,,,,陆源碎屑岩,砾岩,砂岩,粗砂岩,石英砂岩,长石石英砂岩,硅质灰岩,燧石,片岩,片麻岩,千枚岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225010,冯家湾组,Fengjiawan Fm,Jx,香子坪组,,henan,shaanxi,,,,,,,,,,,,,,白云岩,砾屑白云岩,泥质白云岩,燧石,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225011,高家湾组,Gaojiawan Fm,Jx,,,gansu,qinghai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225012,高黎贡山(岩)群,Gaoligongshan Gr,Jx,太平系、黑马层(相当其一 部分)等,原称高黎贡山群，1998年云南1∶50万数字 地质图编图组改称为高黎贡山(岩)群,yunnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225013,官道口群,Guandaokou Gr,Jx,南天门群、洛南群、下栾川群、石坡群、洛河 群,,henan,shaanxi,,,,,,,,,,,,,,碎屑岩,碳酸盐岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225014,哈尔哈达组,Haerhada Fm,Jx,,,Inner Mongolia,,,,,,,,,,,,,,,片岩,石英片岩,绢云母石英片岩,石英岩,含铁石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225015,哈拉霍疙特组,Halahuogete Fm,Jx,,,Inner Mongolia,,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,长石石英砂岩,钙质砂岩,砂屑灰岩,硅质灰岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225016,海原群,Haiyuan Gr,Jx,,,ningxia,,,,,,,,,,,,,,,粘土,碳酸盐岩,片岩,绿帘阳起片岩,绿帘绿泥片岩,绿片岩,石英片岩,石英岩,大理岩,白云石大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225017,洪水庄组,Hongshuizhuang Fm,Jx,,,beijing,tianjin,hebei,liaoning,,,,,,,,,,,,砂岩,石英岩状砂岩,粉砂岩,页岩,黑色页岩,白云质灰岩,白云岩,叠层石白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225018,虎头岭组,Hutouling Fm,Jx,,,liaoning,,,,,,,,,,,,,,,碳酸盐岩,白云岩,燧石,板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225019,花儿地组,Huaerdi Fm,Jx,,隶属于托来南山群,gansu,qinghai,,,,,,,,,,,,,,碳酸盐岩,微晶灰岩,白云岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225020,花石山群,Huashishan Gr,Jx,,,qinghai,,,,,,,,,,,,,,,碳酸盐岩,白云岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225021,黄连垛组,Huanglianduo Fm,Jx,火石山组,,henan,,,,,,,,,,,,,,,砾岩,砂岩,石英砂岩,白云岩,燧石,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225022,金雁山组,Jinyanshan Fm,Jx,安南坝群,,xinjiang,,,,,,,,,,,,,,,碎屑岩,白云岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225023,卡瓦布拉克群,Kawabulake Gr,Jx,南赛纳尔塔格组、尖山子组、碱泉组(第四，五亚组),,xinjiang,,,,,,,,,,,,,,,碎屑岩,砾岩,砂岩,石英砂岩,碳酸盐岩,白云岩,变质砾岩,片岩,石英片岩,石英岩,大理岩,白云质大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225024,克克苏群,Kekesu Gr,Jx,,本群又称为科克苏群,xinjiang,,,,,,,,,,,,,,,砾岩,碳酸盐岩,结晶灰岩,白云岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225025,克素尔组,Kesuer Fm,Jx,,隶属花石峡群,qinghai,,,,,,,,,,,,,,,碳酸盐岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225026,库松木切克群,Kusongmuqieke Gr,Jx,别格舍叶组、库西姆契克群、开尔塔斯群,,xinjiang,,,,,,,,,,,,,,,碳酸盐岩,砾灰岩,白云质灰岩,白云岩,叠层石白云岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225027,狼牙山组,Langyashan Fm,Jx,,,qinghai,,,,,,,,,,,,,,,碎屑岩,碳酸盐岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225028,龙家园组,Longjiayuan Fm,Jx,石庄组、白玉沟群,,shanxi,henan,shaanxi,,,,,,,,,,,,,碎屑岩,砾岩,砂岩,含砾砂岩,碳酸盐岩,白云岩,细晶白云岩,叠层石白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225029,洛峪口组,Luoyukou Fm,Jx,,河南区测队1964年将洛峪口层改称为洛峪口组,shanxi,henan,,,,,,,,,,,,,,砾岩,砂岩,页岩,白云岩,叠层石白云岩,泥质白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225030,木孜萨依组,Muzisayi Fm,Jx,安布坝群,,xinjiang,,,,,,,,,,,,,,,砂岩,细砂岩,石英砂岩,白云岩,千枚岩,石英岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225031,南华山组,Nanhuashan Fm,Jx,,,ningxia,,,,,,,,,,,,,,,片岩,阳起石片岩,石英片岩,石英岩,大理岩,白云质大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225032,平头山组,Pingtoushan Fm,Jx,碱泉群、玉石山组、白玉山群,本组隶属于圆藻山群下部,Inner Mongolia,,,,,,,,,,,,,,,碎屑岩,砂岩,石英砂岩,钙质石英砂岩,碳酸盐岩,竹叶状灰岩,鲕状灰岩,细晶灰岩,白云岩,叠层石白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225033,泉东山组,Quandongshan Fm,Jx,,本组隶属于卡瓦拉克群[Jx],xinjiang,,,,,,,,,,,,,,,泥岩,钙质泥岩,碳酸盐岩,微晶灰岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225034,桑株塔格群,Sangzhutage Gr,Jx,木孜塔格群,,xinjiang,,,,,,,,,,,,,,,花岗岩,碎屑岩,砂岩,石英砂岩,碳酸盐岩,板岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225035,沙子井组,Shazijing Fm,Jx,,本组为卡瓦布拉克群的进一步划分,xinjiang,,,,,,,,,,,,,,,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225036,石门组,Shimen Fm,Jx,,有人认为，本组名称与湖北李四光等1924年命名的白垩纪之石门组为同名异物，应改名称,liaoning,,,,,,,,,,,,,,,砂岩,石英砂岩,铁质石英砂岩,白云岩,细晶白云岩,砂屑白云岩,板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225037,树芽屯群,Shuyatun Gr,Jx,,,liaoning,,,,,,,,,,,,,,,细碧岩,碎屑岩,砂岩,碳酸盐岩,石灰岩,叠层石灰岩,白云质灰岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225038,四台组,Sitai Fm,Jx,,本组隶属于库松木切克群,xinjiang,,,,,,,,,,,,,,,砾岩,角砾岩,碳质灰岩,白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225039,宋家沟组,Songjiagou Fm,Jx,洪水庄组,,liaoning,,,,,,,,,,,,,,,砂岩,石英砂岩,粉砂岩,泥质粉砂岩,细晶灰岩,板岩,泥质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225040,塔昔达坂群,Taxidaban Gr,Jx,安南坝群,,xinjiang,,,,,,,,,,,,,,,碎屑岩,碳酸盐岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225041,铁岭组,Tieling Fm,Jx,,,beijing,tianjin,hebei,liaoning,,,,,,,,,,,,碎屑岩,砾岩,角砾岩,硅质角砾岩,砂岩,石英砂岩,钙质石英砂岩,页岩,含锰页岩,碳酸盐岩,石灰岩,叠层石灰岩,白云质灰岩,白云岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225042,佟家街组,Tongjiajie Fm,Jx,富尔哈组、孤山砬子组,,liaoning,,,,,,,,,,,,,,,砂岩,石英砂岩,长石石英砂岩,白云岩,细晶白云岩,砾屑白云岩,板岩,泥质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225043,雾迷山组,Wumishan Fm,Jx,,,tianjin,,,,,,,,,,,,,,,砾岩,白云质砾岩,角砾岩,砂岩,石英砂岩,白云质砂岩,页岩,白云质页岩,碳酸盐岩,白云质灰岩,白云岩,粗晶白云岩,细晶白云岩,微晶白云岩,叠层石白云岩,灰质白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225044,西华山组,Xihuashan Fm,Jx,,为海原群的一个组,ningxia,,,,,,,,,,,,,,,片岩,石英片岩,白云母石英片岩,大理岩,云母大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225045,巡检司组,Xunjiansi Fm,Jx,,,henan,shaanxi,,,,,,,,,,,,,,砾岩,页岩,白云岩,燧石,板岩,粉砂质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225046,杨士屯组,Yangshitun Fm,Jx,铁岭组,,liaoning,,,,,,,,,,,,,,,砂岩,粉砂岩,泥质粉砂岩,细晶灰岩,板岩,泥质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225047,杨庄组,Yangzhuang Fm,Jx,,本组最初称为杨庄页岩,tianjin,hebei,shanxi,liaoning,,,,,,,,,,,,页岩,碳酸盐岩,白云质灰岩,白云岩,细晶白云岩,微晶白云岩,泥质白云岩,燧石,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225048,园河组,Yuanhe Fm,Jx,,隶属海原群,ningxia,,,,,,,,,,,,,,,片岩,绿帘绿泥片岩,钠长绿帘绿泥片岩,石英片岩,白云母石英片岩,二云母石英片岩,大理岩,云母大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225049,圆藻山群,Yuanzaoshan Gr,Jx,平头山群,,Inner Mongolia,gansu,xinjiang,,,,,,,,,,,,,碳酸岩,碎屑岩,冰碛岩,碳酸盐岩,结晶灰岩,泥灰岩,白云岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224001,白云鄂博群,Baiyunebo Gr,Ch-Qn,,,Inner Mongolia,,,,,,,,,,,,,,,陆源碎屑岩,页岩,泥页岩,碳酸盐岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224002,汉高山群,Hangaoshan Gr,(Ch1)Pt2,,,shanxi,,,,,,,,,,,,,,,辉绿岩,玄武岩,安山玄武岩,安山岩,流纹岩,英安流纹岩,英安岩,凝灰岩,安山质凝灰岩,碎屑岩,砾岩,砂岩,含砾砂岩,石英砂岩,长石砂岩,页岩,砂质页岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224003,南白水河组,Nanbaishuihe Fm,Ch-Jx,苏里组,隶属托来南山群之下部地层,gansu,qinghai,,,,,,,,,,,,,,碎屑岩,碳酸盐岩,板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224004,塞拉加兹塔格群,Sailajiazitage Gr,Ch-Z,,,xinjiang,,,,,,,,,,,,,,,玄武岩,细碧岩,角斑岩,石英角斑岩,正长斑岩,石英斑岩,霏细岩,霏细斑岩,凝灰岩,砂岩,千枚岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224005,三个泉组,Sangequan Fm,Ch-Jx,库西姆契克群下亚群,,xinjiang,,,,,,,,,,,,,,,白云岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224006,桑达来呼都格组,Sangdalaihuduge Fm,Ch-Jx,,,Inner Mongolia,,,,,,,,,,,,,,,辉长岩,玄武岩,拉斑玄武岩,碳酸盐岩,片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224007,托来南山群,Tuolainanshan Gr,Ch-Jx,,,gansu,qinghai,,,,,,,,,,,,,,碎屑岩,碳酸盐岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224008,万洞沟群,Wandonggou Gr,Ch-Jx,,,qinghai,,,,,,,,,,,,,,,结晶灰岩,白云岩,片岩,千枚岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224009,温都尔庙群,Wenduermiao Gr,Ch-Jx,,,Inner Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224010,西勒图组,Hilleltu Fm,Ch-Jx,,,Inner Mongolia,,,,,,,,,,,,,,,陆源碎屑岩,砂岩,粗砂岩,细砂岩,石英砂岩,页岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224011,熊耳群,Xionger Gr,Ch(Pt1-2),西阳河群、龙脖组、傅店组、崤山群、河口群、同善镇火山岩,,shanxi,henan,shaanxi,,,,,,,,,,,,,玢岩,安山岩,流纹岩,英安斑岩,碎屑岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224012,阳坝(岩)组,Yangba Fm,Ch(Pt2-3),姚渡组、白水街组、岸门口组、瑟琶寺组,,sichuan,shaanxi,gansu,,,,,,,,,,,,,碎屑岩,砾岩,砂岩,变泥质岩,变质砂岩,片岩,石英片岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224013,约飞井组,Yuefeijing Fm,Ch(Pt2),,本组隶属于卡瓦希拉克群(或平头山群),xinjiang,,,,,,,,,,,,,,,火山角砾岩,片岩,绿泥石片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224014,渣尔泰山群,Zhaertaishan Gr,Ch-Qn,海拉哈拉组,,Inner Mongolia,,,,,,,,,,,,,,,玄武岩,安山岩,碎屑岩,砾岩,砂岩,石英砂岩,长石石英砂岩,长石石英岩,粉砂岩,页岩,碳酸盐岩,微晶灰岩,白云质灰岩,结晶灰岩,白云岩,泥质白云岩,片岩,板岩,灰色板岩,泥质板岩,粉砂质板岩,绿片岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221001,阿克苏群,Akesu Gr,Ch,,,xinjiang,,,,,,,,,,,,,,,片岩,石英片岩,石英岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221002,熬油沟组,Aoyougou Fm,Ch,,本组岩层层序尚可进一部划分两个组，其层位上下尚有争议,shanxi,gansu,,,,,,,,,,,,,,碎屑岩,碳酸盐岩,板岩,凝灰质板岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221003,巴什库尔干群,Bashikuergan Gr,Ch,巴什考贡群,原称的巴什考贡群早被石炭纪地层单位所用，故改名,xinjiang,,,,,,,,,,,,,,,砂岩,石英砂岩,片岩,千枚岩,石英片岩,白云母石英片岩,二云母石英片岩,大理岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221004,抱板群,Baoban Gr,Ch,,,hainan,,,,,,,,,,,,,,,长石石英岩,片岩,片麻岩,石墨片岩,石英二云片岩,石英片岩,云母石英片岩,斜长片麻岩,变粒岩,黑云斜长变粒岩,麻粒岩,混合岩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
